Block,Gram Panchayat,Village,Beneficiary_Count
Betnoti,Raghupur,Raghunathpur,50
Betnoti,Raghupur,Raghupur,5
Betnoti,Raghupur,Thakurtota,4
Betnoti,S.S. Nanahandasole,Tarasole,12
Betnoti,Saitapur,Jamsole,1
Betnoti,Salaboni,Tarasole,7
Betnoti,Salbani,Tarasole,8
Betnoti,Santala,Badsal,1
Betnoti,Santara,Badsal,2
Betnoti,Santara,Hatijhari,5
Betnoti,Santara,Hatijhuri,22
Betnoti,Santara,Hotapur,4
Betnoti,Santara,Murukundia,16
Betnoti,Santara,Nachipuria,1
Betnoti,Santara,Tilapada,6
Betnoti,Santra,Hatijhuri,16
Betnoti,Santra,Hotapur,8
Betnoti,Sathilo,Garudabasa,8
Betnoti,Sathilo,Sathilo,24
Bijatala,Badjharan,Badjharan,23
Bijatala,Badjharan,Baiganakudar,10
Bijatala,Badjharan,Belpahadi,23
Bijatala,Badjharan,Bhalujodi,23
Bijatala,Badjharan,Dhobadiha,16
Bijatala,Badjharan,Gopinathpur,48
Bijatala,Badjharan,Jayantpur,7
Bijatala,Badjharan,Judia,14
Bijatala,Badjharan,Madansila,20
Bijatala,Badjharan,Podachakdi,11
Bijatala,Badjharan,Pokharia,29
Bijatala,Badjharan,SanJharan,10
Bijatala,Bankati,Asansikhar,13
Bijatala,Bankati,Baliadhipa,26
Bijatala,Bankati,Balikatha,6
Bijatala,Bankati,Balikotha,24
Bijatala,Bankati,Bankati,30
Bijatala,Bankati,Barajiani,23
Bijatala,Bankati,Chanapal,4
Bijatala,Bankati,Golmunda,6
Bijatala,Bankati,Khandadeuli,16
Bijatala,Bankati,Taladiha,28
Bijatala,Bankati,Udalikudar,20
Bijatala,Bijatala,Asana,12
Bijatala,Bijatala,Baghiatangar,18
Bijatala,Bijatala,Bankadunguri,16
Bijatala,Bijatala,Bantali,19
Bijatala,Bijatala,Bijatala,18
Bijatala,Bijatala,Dambeda,16
Bijatala,Bijatala,Jodapokhari,14
Bijatala,Bijatala,Khadiasole,24
Bijatala,Bijatala,Mundakati,13
Bijatala,Bijatala,Mundathakura,15
Bijatala,Bijatala,chadripahadi,16
Bijatala,Cadheipahadi,Dumurikudar,21
Bijatala,Chadheipahadi,Dhantangar,8
Bijatala,Chadheipahadi,Dhantangar Hil,2
Bijatala,Chadheipahadi,Gobindapur,5
Bijatala,Chadheipahadi,Jampani,21
Bijatala,Chadheipahadi,Kankada Beda,6
Bijatala,Chadheipahadi,Kankada Beda Hil,4
Bijatala,Chadheipahadi,Kashipani,12
Bijatala,Chadheipahadi,Kasipani,5
Bijatala,Chadheipahadi,Laxmanchatar,45
Bijatala,Chadheipahadi,Laxmanchhatar,3
Bijatala,Chadheipahadi,Pandupani,8
Bijatala,Chadheipahadi,Tiakati,8
Bijatala,Khanta,Balabhadrapur,16
Bijatala,Khanta,Birkham,1
Bijatala,Khanta,Champauda,15
Bijatala,Khanta,Jodamahul,4
Bijatala,Khanta,Khanta,31
Bijatala,Khanta,Kumbhirda,2
Bijatala,Khanta,Nushadihi,14
Bijatala,Khanta,Padmapur,8
